id,Delta,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
10,0.090591,0.189805,0.003063,0.047970,0.060378,0.073172,0.000000,0.000000,0.000000,0.000000,0.058836,0.056885,0.065366,0.000000,0.049729,0.000000,0.058788,0.085170,0.037899,0.000000,0.000000,0.000000,0.000000,0.000000,0.084737,0.034598,0.000000,0.000000,0.069847,0.000000,0.049536,0.076497,0.000000,0.000000,0.090591,0.000000
1,0.098859,0.148461,0.003178,0.040042,0.000000,0.036779,0.098473,0.069330,0.000000,0.064376,0.075323,0.000000,0.053332,0.068774,0.000000,0.000000,0.096999,0.000000,0.000000,0.059180,0.058069,0.038133,0.000000,0.057634,0.000000,0.098859,0.084699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
10,0.090591,0.189805,0.003063,0.047970,0.060378,0.073172,0.000000,0.000000,0.000000,0.000000,0.058836,0.056885,0.065366,0.000000,0.049729,0.000000,0.058788,0.085170,0.037899,0.000000,0.000000,0.000000,0.000000,0.000000,0.084737,0.034598,0.000000,0.000000,0.069847,0.000000,0.049536,0.076497,0.000000,0.000000,0.090591,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
10,0.090591,0.189805,0.003063,0.047970,0.060378,0.073172,0.000000,0.000000,0.000000,0.000000,0.058836,0.056885,0.065366,0.000000,0.049729,0.000000,0.058788,0.085170,0.037899,0.000000,0.000000,0.000000,0.000000,0.000000,0.084737,0.034598,0.000000,0.000000,0.069847,0.000000,0.049536,0.076497,0.000000,0.000000,0.090591,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
10,0.090591,0.189805,0.003063,0.047970,0.060378,0.073172,0.000000,0.000000,0.000000,0.000000,0.058836,0.056885,0.065366,0.000000,0.049729,0.000000,0.058788,0.085170,0.037899,0.000000,0.000000,0.000000,0.000000,0.000000,0.084737,0.034598,0.000000,0.000000,0.069847,0.000000,0.049536,0.076497,0.000000,0.000000,0.090591,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
8,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
14,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
5,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
12,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
13,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
7,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
23,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
24,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
5,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
18,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
24,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
5,0.077475,0.190332,0.003415,0.000000,0.000000,0.053522,0.000000,0.058833,0.069347,0.030897,0.077475,0.000000,0.067338,0.029946,0.000000,0.000000,0.000000,0.053038,0.036010,0.000000,0.000000,0.000000,0.000000,0.037517,0.073115,0.000000,0.055873,0.049987,0.061811,0.035974,0.042918,0.051853,0.000000,0.043977,0.070567,0.000000
