id,DsRisk,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
19,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
28,0.045428,0.137353,0.045428,0.000000,0.051983,0.090946,0.043463,0.000000,0.062442,0.050595,0.080798,0.000000,0.036929,0.063854,0.046861,0.039609,0.053826,0.072733,0.000000,0.000000,0.000000,0.000000,0.081014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094584,0.048991,0.081373,0.000000
10,0.046153,0.134032,0.046153,0.000000,0.036831,0.063195,0.000000,0.000000,0.000000,0.052194,0.032004,0.000000,0.076911,0.000000,0.046183,0.000000,0.051220,0.000000,0.048040,0.104969,0.000000,0.076354,0.064286,0.061036,0.000000,0.086240,0.000000,0.000000,0.064634,0.000000,0.059133,0.000000,0.000000,0.000000,0.000000,0.076771
19,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
28,0.045428,0.137353,0.045428,0.000000,0.051983,0.090946,0.043463,0.000000,0.062442,0.050595,0.080798,0.000000,0.036929,0.063854,0.046861,0.039609,0.053826,0.072733,0.000000,0.000000,0.000000,0.000000,0.081014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094584,0.048991,0.081373,0.000000
21,0.045428,0.137353,0.045428,0.000000,0.051983,0.090946,0.043463,0.000000,0.062442,0.050595,0.080798,0.000000,0.036929,0.063854,0.046861,0.039609,0.053826,0.072733,0.000000,0.000000,0.000000,0.000000,0.081014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094584,0.048991,0.081373,0.000000
20,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
19,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
28,0.045428,0.137353,0.045428,0.000000,0.051983,0.090946,0.043463,0.000000,0.062442,0.050595,0.080798,0.000000,0.036929,0.063854,0.046861,0.039609,0.053826,0.072733,0.000000,0.000000,0.000000,0.000000,0.081014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094584,0.048991,0.081373,0.000000
19,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
15,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
20,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
15,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
20,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
11,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
19,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
16,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
9,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
26,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
20,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
0,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
18,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
29,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
16,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
18,0.042818,0.121702,0.042818,0.000000,0.066323,0.074730,0.000000,0.000000,0.071260,0.000000,0.000000,0.090685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138406,0.000000,0.000000,0.000000,0.092688,0.000000,0.088181,0.060993,0.000000,0.000000,0.000000,0.093904,0.000000,0.000000,0.000000,0.025470,0.065429,0.131931
