id,HV,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
27,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
2,5416.482382,0.142493,0.001906,0.000000,0.000000,0.000000,0.046666,0.000000,0.110669,0.000000,0.077174,0.000000,0.000000,0.038680,0.090044,0.000000,0.093609,0.041018,0.022847,0.000000,0.000000,0.052846,0.052730,0.000000,0.033888,0.000000,0.000000,0.038286,0.000000,0.000000,0.000000,0.000000,0.092313,0.089952,0.078957,0.040323
19,5199.900461,0.194971,0.001898,0.000000,0.082700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104037,0.057009,0.051081,0.000000,0.078872,0.000000,0.000000,0.113093,0.000000,0.000000,0.000000,0.055558,0.000000,0.000000,0.000000,0.121073,0.000000,0.000000,0.000000,0.000000,0.108365,0.000000,0.000000,0.109165,0.119046
10,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
1,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
27,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
27,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
10,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
18,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
28,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
12,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
1,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
7,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
0,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
17,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
29,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
4,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
25,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
17,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
25,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
2,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
6,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
11,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
1,6559.685800,0.114891,0.001689,0.000000,0.000000,0.000000,0.000000,0.056385,0.066327,0.095127,0.000000,0.059293,0.000000,0.000000,0.096033,0.043177,0.000000,0.000000,0.081060,0.000000,0.070523,0.000000,0.069617,0.000000,0.094197,0.000000,0.000000,0.000000,0.062560,0.000000,0.100610,0.000000,0.000000,0.064658,0.000000,0.040435
