id,Skewness,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
29,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
2,-0.000064,0.115292,0.001534,0.067397,0.045510,0.000000,0.000000,0.000000,0.069832,0.000000,0.000000,0.032170,0.044085,0.040045,0.039941,0.060792,0.078198,0.071800,0.000000,0.059367,0.000000,0.000000,0.000000,0.077939,0.055482,0.076903,0.000000,0.000000,0.077758,0.000000,0.000000,0.000000,0.000000,0.000000,0.040822,0.061958
28,-0.000078,0.127369,0.001693,0.145345,0.079890,0.000000,0.000000,0.055045,0.050911,0.053075,0.022082,0.056994,0.052496,0.105507,0.042430,0.038596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012722,0.000000,0.000000,0.078391,0.040909,0.000000,0.000000,0.000000,0.069331,0.020176,0.000000,0.000000,0.000000,0.076099
14,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
13,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
12,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
14,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
13,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
0,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
14,-0.000024,0.134536,0.001975,0.066979,0.000000,0.000000,0.000000,0.000000,0.000000,0.052007,0.000000,0.071119,0.084381,0.000000,0.037604,0.000000,0.073424,0.000000,0.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.088867,0.000000,0.058576,0.098262,0.149005,0.060212,0.000000,0.000000,0.000000,0.000000,0.059394,0.051461
