id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
12,0.085447,0.137710,0.049776,0.040227,0.000000,0.000000,0.082080,0.000000,0.063564,0.055587,0.085447,0.078733,0.000000,0.000000,0.067600,0.082004,0.000000,0.064080,0.073396,0.026933,0.000000,0.082386,0.000000,0.057003,0.000000,0.000000,0.000000,0.000000,0.000000,0.036516,0.000000,0.000000,0.000000,0.032939,0.071502,0.000000
4,0.088406,0.124427,0.043746,0.068620,0.081256,0.080735,0.000000,0.000000,0.088406,0.000000,0.039896,0.000000,0.048684,0.046102,0.031778,0.065789,0.034930,0.000000,0.000000,0.075621,0.000000,0.058193,0.042031,0.000000,0.060377,0.043371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056082,0.000000,0.078128,0.000000
14,0.089382,0.141630,0.050773,0.078289,0.000000,0.089382,0.029822,0.000000,0.000000,0.000000,0.075616,0.064035,0.000000,0.000000,0.043694,0.031540,0.070356,0.000000,0.000000,0.032940,0.050269,0.000000,0.042464,0.000000,0.000000,0.076316,0.044182,0.000000,0.073962,0.000000,0.053069,0.000000,0.071671,0.000000,0.037882,0.034510
11,0.084415,0.136857,0.046995,0.000000,0.052988,0.014001,0.012091,0.015638,0.024182,0.059407,0.075779,0.069021,0.027240,0.054141,0.055852,0.057254,0.051749,0.023582,0.022536,0.000000,0.000000,0.011002,0.000000,0.044607,0.000000,0.070154,0.000000,0.000000,0.044081,0.000000,0.084415,0.000000,0.000000,0.078529,0.026818,0.024932
1,0.085204,0.139022,0.047622,0.000000,0.048147,0.012722,0.013307,0.016118,0.026614,0.061901,0.074841,0.069092,0.029979,0.059585,0.050749,0.052062,0.047021,0.021428,0.020477,0.000000,0.000000,0.012108,0.000000,0.047412,0.000000,0.074011,0.000000,0.000000,0.040054,0.000000,0.085204,0.000000,0.001044,0.079170,0.029515,0.027439
12,0.085447,0.137710,0.049776,0.040227,0.000000,0.000000,0.082080,0.000000,0.063564,0.055587,0.085447,0.078733,0.000000,0.000000,0.067600,0.082004,0.000000,0.064080,0.073396,0.026933,0.000000,0.082386,0.000000,0.057003,0.000000,0.000000,0.000000,0.000000,0.000000,0.036516,0.000000,0.000000,0.000000,0.032939,0.071502,0.000000
10,0.078086,0.148529,0.051376,0.014562,0.003461,0.029205,0.010530,0.005730,0.014590,0.025846,0.051355,0.020974,0.051917,0.024108,0.007645,0.076948,0.066081,0.070010,0.020360,0.050572,0.002800,0.025268,0.040655,0.035868,0.017462,0.035489,0.024624,0.030956,0.016021,0.067645,0.078086,0.001540,0.000444,0.030605,0.048640,0.000000
26,0.078940,0.149777,0.051186,0.011822,0.004874,0.026302,0.014832,0.008070,0.020550,0.028946,0.041931,0.018889,0.050767,0.023137,0.010996,0.068129,0.055949,0.078940,0.016843,0.042276,0.003619,0.035988,0.038053,0.037232,0.024509,0.034413,0.025713,0.038286,0.022566,0.062771,0.068923,0.002169,0.000000,0.031060,0.051443,0.000000
11,0.084147,0.136792,0.046966,0.000000,0.052988,0.014001,0.012091,0.015579,0.024182,0.059407,0.075779,0.069021,0.027240,0.054141,0.055852,0.057522,0.051749,0.023582,0.022536,0.000000,0.000000,0.011002,0.000000,0.044607,0.000059,0.070154,0.000000,0.000000,0.044081,0.000000,0.084147,0.000000,0.000000,0.078529,0.026818,0.024932
22,0.061527,0.149667,0.048437,0.000000,0.036492,0.009796,0.016583,0.022935,0.020837,0.036849,0.036635,0.027524,0.035860,0.020863,0.061527,0.048998,0.055216,0.056117,0.021469,0.005533,0.004221,0.040131,0.009818,0.049521,0.051069,0.030930,0.041470,0.026711,0.047581,0.013782,0.040748,0.019604,0.033432,0.044099,0.032902,0.000746
