id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
6,0.001775,0.118258,0.001775,0.096008,0.000000,0.000000,0.019835,0.117786,0.000000,0.090402,0.072610,0.000000,0.050758,0.000000,0.000000,0.073383,0.096830,0.000000,0.000000,0.083998,0.029727,0.000000,0.059055,0.000000,0.062120,0.000000,0.000000,0.048091,0.017866,0.000000,0.000000,0.000000,0.081531,0.000000,0.000000,0.000000
20,0.001821,0.109804,0.001821,0.000000,0.072633,0.058699,0.000000,0.018988,0.061293,0.101664,0.000000,0.000000,0.039931,0.044788,0.068127,0.033185,0.000000,0.000000,0.030833,0.000000,0.040525,0.000000,0.097092,0.000000,0.066611,0.091181,0.053821,0.000000,0.000000,0.045272,0.000000,0.000000,0.000000,0.075358,0.000000,0.000000
12,0.001945,0.121518,0.001945,0.074673,0.057233,0.000000,0.053929,0.000000,0.000000,0.000000,0.000000,0.046318,0.052152,0.094015,0.000000,0.000000,0.043746,0.065890,0.073836,0.077266,0.041926,0.050270,0.000000,0.045418,0.000000,0.000000,0.103927,0.000000,0.067124,0.000000,0.000000,0.000000,0.000000,0.052277,0.000000,0.000000
6,0.001774,0.118262,0.001774,0.096008,0.000000,0.000000,0.019835,0.117786,0.000000,0.090402,0.072610,0.000000,0.050758,0.000000,0.000000,0.073383,0.096830,0.000000,0.000000,0.083998,0.029727,0.000000,0.058806,0.000000,0.062120,0.000000,0.000000,0.048091,0.017866,0.000000,0.000000,0.000000,0.081531,0.000000,0.000000,0.000249
18,0.001785,0.119800,0.001785,0.085916,0.027072,0.000000,0.035962,0.062071,0.000000,0.047640,0.038264,0.021909,0.051417,0.044471,0.000000,0.038671,0.071720,0.031167,0.034926,0.080813,0.035497,0.023778,0.031121,0.021484,0.032736,0.000000,0.049159,0.025343,0.041166,0.000000,0.000000,0.000000,0.042965,0.024728,0.000000,0.000000
8,0.001794,0.119976,0.001794,0.084765,0.030161,0.000000,0.037802,0.055715,0.000000,0.042762,0.034346,0.024409,0.051492,0.049544,0.000000,0.034711,0.068856,0.034723,0.038910,0.080450,0.036156,0.026491,0.027934,0.023935,0.029384,0.000000,0.054768,0.022748,0.043824,0.000000,0.000000,0.000000,0.038566,0.027549,0.000000,0.000000
6,0.001774,0.118262,0.001774,0.096008,0.000000,0.000000,0.019835,0.117786,0.000000,0.090402,0.072610,0.000000,0.050758,0.000000,0.000000,0.073383,0.096830,0.000000,0.000000,0.083998,0.029727,0.000000,0.058806,0.000000,0.062120,0.000000,0.000000,0.048091,0.017866,0.000000,0.000000,0.000000,0.081531,0.000000,0.000000,0.000249
13,0.001781,0.119303,0.001781,0.094644,0.000000,0.000000,0.019240,0.114254,0.000000,0.087691,0.071702,0.000000,0.049235,0.001107,0.002159,0.074970,0.096011,0.000964,0.002172,0.082693,0.031654,0.000000,0.057042,0.000000,0.060257,0.000000,0.000000,0.050211,0.017330,0.001955,0.001642,0.000000,0.079086,0.000001,0.000000,0.003978
18,0.001785,0.119800,0.001785,0.085916,0.027072,0.000000,0.035962,0.062071,0.000000,0.047640,0.038264,0.021909,0.051417,0.044471,0.000000,0.038671,0.071720,0.031167,0.034926,0.080813,0.035497,0.023778,0.031121,0.021484,0.032736,0.000000,0.049159,0.025343,0.041166,0.000000,0.000000,0.000000,0.042965,0.024728,0.000000,0.000000
28,0.001764,0.118711,0.001764,0.093061,0.007906,0.000000,0.024544,0.101515,0.000000,0.077914,0.062580,0.006398,0.050950,0.012987,0.000000,0.063246,0.089497,0.009102,0.010200,0.083068,0.031412,0.006944,0.050721,0.006274,0.053539,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
11,0.001770,0.119297,0.001770,0.088863,0.019166,0.000000,0.031252,0.078342,0.000000,0.060128,0.048295,0.015511,0.051224,0.031484,0.000000,0.048808,0.082615,0.022065,0.024726,0.081743,0.033812,0.016834,0.039206,0.015210,0.041317,0.000000,0.034803,0.031987,0.034361,0.000000,0.000000,0.000000,0.054228,0.013945,0.000000,0.000073
6,0.001774,0.118262,0.001774,0.096008,0.000000,0.000000,0.019835,0.117786,0.000000,0.090402,0.072610,0.000000,0.050758,0.000000,0.000000,0.073383,0.096830,0.000000,0.000000,0.083998,0.029727,0.000000,0.058806,0.000000,0.062120,0.000000,0.000000,0.048091,0.017866,0.000000,0.000000,0.000000,0.081531,0.000000,0.000000,0.000249
