id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
7,0.000016,0.115955,0.038954,0.042574,0.000000,0.050714,0.000000,0.048353,0.000000,0.039081,0.081999,0.051206,0.065693,0.000000,0.082270,0.057527,0.089722,0.000000,0.050100,0.000000,0.000000,0.000000,0.000000,0.000000,0.072456,0.000000,0.042229,0.000000,0.000000,0.058585,0.000000,0.000000,0.000000,0.000000,0.094272,0.073219
6,-0.000018,0.116528,0.037920,0.000000,0.000000,0.048978,0.000000,0.066701,0.107407,0.000000,0.000000,0.046553,0.057862,0.000000,0.000000,0.048525,0.057953,0.000000,0.065568,0.063642,0.000000,0.000000,0.102013,0.000000,0.040071,0.053397,0.047731,0.000000,0.039708,0.000000,0.000000,0.000000,0.000000,0.000000,0.099769,0.054123
25,-0.000028,0.141687,0.047889,0.050228,0.000000,0.000000,0.000000,0.133932,0.000000,0.000000,0.039288,0.000000,0.000000,0.000000,0.000000,0.095242,0.000000,0.057151,0.091880,0.033248,0.000000,0.071254,0.032764,0.000000,0.050427,0.075641,0.000000,0.071083,0.052849,0.000000,0.000000,0.000000,0.000000,0.000000,0.145014,0.000000
7,0.000016,0.115955,0.038954,0.042574,0.000000,0.050714,0.000000,0.048353,0.000000,0.039081,0.081999,0.051206,0.065693,0.000000,0.082270,0.057527,0.089722,0.000000,0.050100,0.000000,0.000000,0.000000,0.000000,0.000000,0.072456,0.000000,0.042229,0.000000,0.000000,0.058585,0.000000,0.000000,0.000000,0.000000,0.094272,0.073219
6,-0.000016,0.117856,0.038407,0.000000,0.000000,0.048978,0.004918,0.066701,0.107407,0.000000,0.000000,0.046553,0.057862,0.000000,0.000181,0.048525,0.057930,0.000000,0.065568,0.063642,0.000000,0.000000,0.101831,0.000000,0.040071,0.053397,0.042836,0.000000,0.038258,0.001451,0.000000,0.000000,0.000000,0.000000,0.099769,0.054123
25,-0.000029,0.141755,0.047877,0.050228,0.000000,0.000000,0.000000,0.133932,0.000000,0.000000,0.039288,0.000000,0.000000,0.000000,0.000000,0.095242,0.000000,0.057151,0.091880,0.031425,0.000000,0.071254,0.032764,0.000000,0.050427,0.075641,0.000000,0.071083,0.052849,0.000000,0.000000,0.000000,0.000000,0.001823,0.145014,0.000000
7,0.000016,0.115953,0.038953,0.042574,0.000000,0.050714,0.000000,0.048353,0.000000,0.039081,0.081974,0.051206,0.065693,0.000000,0.082270,0.057527,0.089722,0.000000,0.050100,0.000025,0.000000,0.000000,0.000000,0.000000,0.072456,0.000000,0.042229,0.000000,0.000000,0.058585,0.000000,0.000000,0.000000,0.000000,0.094272,0.073219
4,-0.000015,0.140642,0.043122,0.030237,0.000000,0.036019,0.016671,0.034342,0.015759,0.033103,0.058239,0.036369,0.041150,0.000000,0.071520,0.070528,0.063724,0.022941,0.062607,0.011086,0.026827,0.000000,0.018244,0.000000,0.066964,0.000000,0.052254,0.028794,0.019448,0.041609,0.000000,0.022607,0.000000,0.000000,0.066956,0.052003
6,-0.000016,0.117858,0.038408,0.000000,0.000000,0.048978,0.004918,0.066701,0.107407,0.000000,0.000000,0.046553,0.057862,0.000000,0.000181,0.048525,0.057930,0.000000,0.065568,0.063642,0.000023,0.000000,0.101831,0.000000,0.040071,0.053397,0.042836,0.000000,0.038235,0.001451,0.000000,0.000000,0.000000,0.000000,0.099769,0.054123
7,0.000007,0.115260,0.038493,0.042574,0.000000,0.050714,0.000000,0.048353,0.000000,0.039081,0.081974,0.051206,0.065693,0.000000,0.082270,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072456,0.000000,0.043090,0.000000,0.000000,0.058585,0.000000,0.000000,0.000000,0.000000,0.094272,0.073219
