id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
28,315.473521,0.098781,0.035349,0.067421,0.000000,0.078788,0.000000,0.081783,0.056809,0.000000,0.000000,0.000000,0.082089,0.000000,0.067185,0.000000,0.070558,0.065087,0.000000,0.051763,0.000000,0.050088,0.093597,0.000000,0.039618,0.000000,0.058437,0.000000,0.098526,0.000000,0.000000,0.000000,0.038250,0.000000,0.000000,0.000000
10,304.163737,0.163825,0.045400,0.000000,0.000000,0.000000,0.000000,0.000000,0.019422,0.000000,0.080136,0.000000,0.035998,0.066108,0.000000,0.074762,0.056052,0.000000,0.046311,0.065357,0.000000,0.000000,0.070040,0.000000,0.072450,0.062947,0.000000,0.058482,0.000000,0.060477,0.021081,0.035464,0.000000,0.055953,0.034694,0.084265
4,287.677761,0.118658,0.041082,0.000000,0.042023,0.000000,0.000000,0.000000,0.094623,0.068704,0.066876,0.000000,0.000000,0.000000,0.083720,0.000000,0.054928,0.055516,0.079367,0.000000,0.000000,0.000000,0.037540,0.000000,0.000000,0.094644,0.089900,0.000000,0.000000,0.061261,0.055233,0.000000,0.025048,0.044809,0.000000,0.045810
18,388.636189,0.104611,0.036837,0.047645,0.012327,0.055677,0.000000,0.057793,0.067901,0.020153,0.019617,0.000000,0.058010,0.000000,0.072035,0.000000,0.065973,0.062279,0.023281,0.036579,0.000000,0.035396,0.077154,0.000000,0.027997,0.027762,0.067666,0.000000,0.069625,0.017970,0.016201,0.000000,0.034378,0.013144,0.000000,0.013437
2,339.614690,0.112827,0.039224,0.019777,0.029696,0.023111,0.000000,0.023989,0.083531,0.048551,0.047259,0.000000,0.024079,0.000000,0.078870,0.000000,0.059513,0.058323,0.056086,0.015184,0.000000,0.014692,0.053983,0.000000,0.011621,0.066882,0.080671,0.000000,0.028901,0.043291,0.039031,0.000000,0.028921,0.031665,0.000000,0.032372
7,319.243202,0.111130,0.038032,0.052676,0.000000,0.061557,0.000000,0.073265,0.044385,0.015254,0.003578,0.000000,0.064136,0.000000,0.061138,0.000000,0.069458,0.050852,0.026188,0.049151,0.017666,0.039134,0.091510,0.000000,0.048151,0.000000,0.055273,0.000000,0.086360,0.017207,0.016156,0.010209,0.029885,0.000000,0.000000,0.016811
18,388.636189,0.104611,0.036837,0.047645,0.012327,0.055677,0.000000,0.057793,0.067901,0.020153,0.019617,0.000000,0.058010,0.000000,0.072035,0.000000,0.065973,0.062279,0.023281,0.036579,0.000000,0.035396,0.077154,0.000000,0.027997,0.027762,0.067666,0.000000,0.069625,0.017970,0.016201,0.000000,0.034378,0.013144,0.000000,0.013437
1,387.690938,0.151431,0.045666,0.016974,0.000000,0.019836,0.015558,0.020590,0.024771,0.000000,0.060234,0.000000,0.062985,0.035634,0.029193,0.040298,0.047977,0.016386,0.035922,0.048261,0.000000,0.012610,0.061317,0.000000,0.065026,0.055417,0.014712,0.031523,0.024805,0.054113,0.025386,0.023381,0.033185,0.030160,0.036671,0.057074
27,386.116381,0.111591,0.038079,0.049280,0.013642,0.048625,0.000000,0.050474,0.059301,0.023729,0.029621,0.002627,0.054173,0.005414,0.062912,0.000000,0.063576,0.054391,0.033930,0.031946,0.005293,0.034572,0.075598,0.000000,0.030660,0.024246,0.059096,0.000000,0.070793,0.022468,0.018752,0.006705,0.030024,0.018984,0.000000,0.019166
9,441.443530,0.137304,0.043054,0.017685,0.011054,0.020667,0.009462,0.021453,0.046539,0.018073,0.055793,0.000000,0.047975,0.022965,0.047114,0.025972,0.052429,0.031676,0.043631,0.036283,0.000000,0.013139,0.058758,0.000000,0.045292,0.059832,0.038977,0.020316,0.025844,0.050209,0.030381,0.014914,0.030949,0.031225,0.022982,0.048411
