id,Mean,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
3,0.271644,0.271644,0.006775,0.000000,0.000000,0.123971,0.000000,0.000000,0.000000,0.000000,0.000000,0.069525,0.041238,0.000000,0.082289,0.000000,0.000000,0.076024,0.046334,0.000000,0.094679,0.000000,0.000000,0.074925,0.000000,0.000000,0.000000,0.067912,0.041589,0.000000,0.081564,0.119483,0.000000,0.008954,0.071512,0.000000
27,0.270928,0.270928,0.005626,0.000000,0.042752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097167,0.000000,0.067117,0.084627,0.000000,0.079105,0.025080,0.113086,0.000000,0.047073,0.037847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085894,0.150835,0.107368,0.000000,0.062049,0.000000
11,0.209907,0.209907,0.003424,0.000000,0.000000,0.061576,0.080572,0.136476,0.000000,0.087709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048658,0.000000,0.000000,0.078754,0.000000,0.000000,0.000000,0.000000,0.000000,0.087872,0.072214,0.090939,0.000000,0.040435,0.070748,0.000000,0.063638,0.017830,0.062580
3,0.271644,0.271644,0.006775,0.000000,0.000000,0.123971,0.000000,0.000000,0.000000,0.000000,0.000000,0.069525,0.041238,0.000000,0.082289,0.000000,0.000000,0.076024,0.046334,0.000000,0.094679,0.000000,0.000000,0.074925,0.000000,0.000000,0.000000,0.067912,0.041589,0.000000,0.081564,0.119483,0.000000,0.008954,0.071512,0.000000
13,0.271327,0.271327,0.006235,0.000000,0.018929,0.069082,0.000000,0.000000,0.000000,0.000000,0.000000,0.038742,0.022979,0.043022,0.045855,0.029717,0.037470,0.042363,0.060844,0.011104,0.102829,0.000000,0.020842,0.058508,0.000000,0.000000,0.000000,0.037843,0.023175,0.000000,0.083482,0.133364,0.047538,0.004989,0.067322,0.000000
10,0.271245,0.271245,0.006103,0.000000,0.023823,0.054890,0.000000,0.000000,0.000000,0.000000,0.000000,0.030783,0.018259,0.054145,0.036435,0.037400,0.047158,0.033661,0.064595,0.013975,0.104936,0.000000,0.026231,0.054264,0.000000,0.000000,0.000000,0.030069,0.018414,0.000000,0.083977,0.136953,0.059829,0.003964,0.066239,0.000000
3,0.271644,0.271644,0.006775,0.000000,0.000000,0.123971,0.000000,0.000000,0.000000,0.000000,0.000000,0.069525,0.041238,0.000000,0.082289,0.000000,0.000000,0.076024,0.046334,0.000000,0.094679,0.000000,0.000000,0.074925,0.000000,0.000000,0.000000,0.067912,0.041589,0.000000,0.081564,0.119483,0.000000,0.008954,0.071512,0.000000
14,0.271477,0.271477,0.006484,0.000000,0.009996,0.094984,0.000000,0.000000,0.000000,0.000000,0.000000,0.053269,0.031596,0.022720,0.063048,0.015693,0.019788,0.058248,0.053997,0.005864,0.098983,0.000000,0.011007,0.066256,0.000000,0.000000,0.000000,0.052033,0.031864,0.000000,0.082577,0.126814,0.025105,0.006860,0.069299,0.000000
25,0.271413,0.271413,0.006375,0.000000,0.013827,0.083877,0.000000,0.000000,0.000000,0.000000,0.000000,0.047039,0.027901,0.031426,0.055675,0.021707,0.027370,0.051436,0.056933,0.008111,0.100632,0.000000,0.015224,0.062933,0.000000,0.000000,0.000000,0.045948,0.028138,0.000000,0.082965,0.129623,0.034725,0.006058,0.068452,0.000000
1,0.277258,0.277258,0.006822,0.000473,0.003516,0.095962,0.000000,0.000000,0.000999,0.000759,0.001197,0.066519,0.046490,0.011861,0.072399,0.008569,0.009186,0.049771,0.037361,0.003262,0.139341,0.000000,0.006042,0.056813,0.001495,0.000000,0.001340,0.064229,0.037829,0.000000,0.068797,0.133321,0.007266,0.007022,0.067271,0.000907
3,0.271644,0.271644,0.006775,0.000000,0.000000,0.123971,0.000000,0.000000,0.000000,0.000000,0.000000,0.069525,0.041238,0.000000,0.082289,0.000000,0.000000,0.076024,0.046334,0.000000,0.094679,0.000000,0.000000,0.074925,0.000000,0.000000,0.000000,0.067912,0.041589,0.000000,0.081564,0.119483,0.000000,0.008954,0.071512,0.000000
14,0.271477,0.271477,0.006484,0.000000,0.009996,0.094984,0.000000,0.000000,0.000000,0.000000,0.000000,0.053269,0.031596,0.022720,0.063048,0.015693,0.019788,0.058248,0.053997,0.005864,0.098983,0.000000,0.011007,0.066256,0.000000,0.000000,0.000000,0.052033,0.031864,0.000000,0.082577,0.126814,0.025105,0.006860,0.069299,0.000000
