id,SortinoRatio,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
20,3.968113,0.127593,0.032155,0.115475,0.079496,0.000000,0.000000,0.113997,0.071987,0.056014,0.000000,0.000000,0.000000,0.096024,0.000000,0.083313,0.000000,0.000000,0.000000,0.087652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041733,0.000000,0.000000,0.000000,0.000000,0.048258,0.000000,0.087560,0.000000,0.118491
19,3.838993,0.263954,0.068756,0.000000,0.000000,0.000000,0.059074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027484,0.000000,0.000000,0.083587,0.020384,0.121746,0.062213,0.068831,0.000000,0.000000,0.000000,0.089262,0.056441,0.000000,0.000000,0.000000,0.000000,0.000000,0.165387,0.115418,0.077453,0.000000,0.052722
13,3.779713,0.207925,0.055011,0.000000,0.041561,0.000000,0.000000,0.000000,0.047999,0.070053,0.000000,0.090956,0.000000,0.000000,0.046875,0.050629,0.000000,0.000000,0.000000,0.068738,0.061807,0.079203,0.000000,0.000000,0.092463,0.000000,0.029698,0.000000,0.000000,0.000000,0.097888,0.106709,0.000000,0.000000,0.061505,0.053916
20,3.968113,0.127593,0.032155,0.115475,0.079496,0.000000,0.000000,0.113997,0.071987,0.056014,0.000000,0.000000,0.000000,0.096024,0.000000,0.083313,0.000000,0.000000,0.000000,0.087652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041733,0.000000,0.000000,0.000000,0.000000,0.048258,0.000000,0.087560,0.000000,0.118491
19,3.838993,0.263954,0.068756,0.000000,0.000000,0.000000,0.059074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027484,0.000000,0.000000,0.083587,0.020384,0.121746,0.062213,0.068831,0.000000,0.000000,0.000000,0.089262,0.056441,0.000000,0.000000,0.000000,0.000000,0.000000,0.165387,0.115418,0.077453,0.000000,0.052722
13,3.779713,0.207925,0.055011,0.000000,0.041561,0.000000,0.000000,0.000000,0.047999,0.070053,0.000000,0.090956,0.000000,0.000000,0.046875,0.050629,0.000000,0.000000,0.000000,0.068738,0.061807,0.079203,0.000000,0.000000,0.092463,0.000000,0.029698,0.000000,0.000000,0.000000,0.097888,0.106709,0.000000,0.000000,0.061505,0.053916
20,3.968113,0.127593,0.032155,0.115475,0.079496,0.000000,0.000000,0.113997,0.071987,0.056014,0.000000,0.000000,0.000000,0.096024,0.000000,0.083313,0.000000,0.000000,0.000000,0.087652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041733,0.000000,0.000000,0.000000,0.000000,0.048258,0.000000,0.087560,0.000000,0.118491
16,3.968113,0.127593,0.032155,0.115475,0.079496,0.000000,0.000000,0.113997,0.071987,0.056014,0.000000,0.000000,0.000000,0.096024,0.000000,0.083313,0.000000,0.000000,0.000000,0.087652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041733,0.000000,0.000000,0.000000,0.000000,0.048258,0.000000,0.087560,0.000000,0.118491
22,3.968113,0.127593,0.032155,0.115475,0.079496,0.000000,0.000000,0.113997,0.071987,0.056014,0.000000,0.000000,0.000000,0.096024,0.000000,0.083313,0.000000,0.000000,0.000000,0.087652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041733,0.000000,0.000000,0.000000,0.000000,0.048258,0.000000,0.087560,0.000000,0.118491
25,4.086490,0.292797,0.071650,0.000000,0.000000,0.000000,0.073637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022543,0.000000,0.000000,0.059756,0.015449,0.063841,0.064318,0.068235,0.000000,0.000000,0.000000,0.115306,0.051813,0.000000,0.000000,0.000000,0.000000,0.000000,0.204647,0.077757,0.107259,0.000000,0.075438
