id,SortinoRatio,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
3,882.554531,0.110128,0.001258,0.000000,0.000000,0.045621,0.000000,0.000000,0.053643,0.058223,0.101133,0.108425,0.058223,0.000000,0.035572,0.084520,0.038079,0.055033,0.000000,0.000000,0.000000,0.070004,0.060525,0.000000,0.000000,0.000000,0.076590,0.037646,0.086184,0.000000,0.000000,0.000000,0.000000,0.030581,0.000000,0.000000
4,801.910280,0.122658,0.001400,0.027698,0.000000,0.082956,0.045506,0.000000,0.000000,0.000000,0.000000,0.000000,0.030476,0.086957,0.000000,0.076122,0.040006,0.000000,0.031616,0.144020,0.000000,0.047312,0.065204,0.000000,0.000000,0.122545,0.056647,0.000000,0.037005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105931
10,778.381203,0.108967,0.001425,0.033534,0.000000,0.061520,0.000000,0.000000,0.054654,0.025349,0.079893,0.093076,0.087419,0.079015,0.000000,0.000000,0.000000,0.108072,0.000000,0.000000,0.000000,0.076433,0.089616,0.000000,0.062701,0.037022,0.055890,0.000000,0.000000,0.000000,0.000000,0.000000,0.036143,0.019664,0.000000,0.000000
4,1081.019531,0.109412,0.001026,0.028299,0.000000,0.032788,0.019827,0.000000,0.003363,0.020531,0.040925,0.041113,0.040643,0.047511,0.013125,0.073072,0.032016,0.033634,0.019177,0.176674,0.000000,0.038395,0.049678,0.000000,0.000000,0.091418,0.063960,0.009261,0.043640,0.000000,0.000000,0.000000,0.000000,0.002961,0.000000,0.077990
23,1081.019531,0.109412,0.001026,0.028299,0.000000,0.032788,0.019827,0.000000,0.003363,0.020531,0.040925,0.041113,0.040643,0.047511,0.013125,0.073072,0.032016,0.033634,0.019177,0.176674,0.000000,0.038395,0.049678,0.000000,0.000000,0.091418,0.063960,0.009261,0.043640,0.000000,0.000000,0.000000,0.000000,0.002961,0.000000,0.077990
27,1081.019531,0.109412,0.001026,0.028299,0.000000,0.032788,0.019827,0.000000,0.003363,0.020531,0.040925,0.041113,0.040643,0.047511,0.013125,0.073072,0.032016,0.033634,0.019177,0.176674,0.000000,0.038395,0.049678,0.000000,0.000000,0.091418,0.063960,0.009261,0.043640,0.000000,0.000000,0.000000,0.000000,0.002961,0.000000,0.077990
14,1123.147896,0.104740,0.000984,0.028429,0.000000,0.020524,0.015912,0.000762,0.002604,0.028761,0.031343,0.057150,0.035023,0.034596,0.014092,0.054990,0.066978,0.042204,0.011330,0.056707,0.000000,0.025407,0.049176,0.000000,0.040505,0.056428,0.102162,0.008811,0.060726,0.027172,0.004050,0.000000,0.000915,0.021695,0.000000,0.101551
16,1123.147896,0.104740,0.000984,0.028429,0.000000,0.020524,0.015912,0.000762,0.002604,0.028761,0.031343,0.057150,0.035023,0.034596,0.014092,0.054990,0.066978,0.042204,0.011330,0.056707,0.000000,0.025407,0.049176,0.000000,0.040505,0.056428,0.102162,0.008811,0.060726,0.027172,0.004050,0.000000,0.000915,0.021695,0.000000,0.101551
19,1123.147896,0.104740,0.000984,0.028429,0.000000,0.020524,0.015912,0.000762,0.002604,0.028761,0.031343,0.057150,0.035023,0.034596,0.014092,0.054990,0.066978,0.042204,0.011330,0.056707,0.000000,0.025407,0.049176,0.000000,0.040505,0.056428,0.102162,0.008811,0.060726,0.027172,0.004050,0.000000,0.000915,0.021695,0.000000,0.101551
20,1309.546188,0.103346,0.000843,0.016543,0.000000,0.030795,0.013550,0.000354,0.036964,0.050276,0.050697,0.070173,0.028510,0.010126,0.023438,0.097888,0.039033,0.058629,0.011111,0.061729,0.000000,0.042843,0.065399,0.000000,0.002038,0.037519,0.081117,0.016705,0.069228,0.004338,0.001039,0.000000,0.000027,0.006194,0.000000,0.073735
26,1309.546188,0.103346,0.000843,0.016543,0.000000,0.030795,0.013550,0.000354,0.036964,0.050276,0.050697,0.070173,0.028510,0.010126,0.023438,0.097888,0.039033,0.058629,0.011111,0.061729,0.000000,0.042843,0.065399,0.000000,0.002038,0.037519,0.081117,0.016705,0.069228,0.004338,0.001039,0.000000,0.000027,0.006194,0.000000,0.073735
29,1309.546188,0.103346,0.000843,0.016543,0.000000,0.030795,0.013550,0.000354,0.036964,0.050276,0.050697,0.070173,0.028510,0.010126,0.023438,0.097888,0.039033,0.058629,0.011111,0.061729,0.000000,0.042843,0.065399,0.000000,0.002038,0.037519,0.081117,0.016705,0.069228,0.004338,0.001039,0.000000,0.000027,0.006194,0.000000,0.073735
11,1337.941230,0.103635,0.000825,0.025704,0.000000,0.034531,0.018081,0.000021,0.036368,0.048006,0.046591,0.060147,0.027387,0.010345,0.018724,0.087078,0.035672,0.051145,0.016429,0.070638,0.000000,0.047501,0.070838,0.000000,0.000000,0.046008,0.084547,0.009465,0.059677,0.001595,0.001019,0.000000,0.000005,0.004902,0.000000,0.087577
