id,SortinoRatio,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
31,3.427556,0.089460,0.026100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052197,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030262
18,3.376608,0.112346,0.033272,0.000000,0.000000,0.000000,0.066810,0.000000,0.056739,0.000000,0.000000,0.000000,0.045159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063050,0.053027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080702,0.000000,0.000000,0.058499,0.053075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034273,0.000000,0.000000,0.000000,0.000000,0.000000,0.063721,0.042081,0.000000,0.000000,0.000000,0.052476,0.085133,0.000000,0.094569,0.044021,0.000000,0.000000,0.060140,0.046524
38,3.240520,0.091369,0.028196,0.018063,0.000000,0.000000,0.000000,0.000000,0.037048,0.000000,0.032604,0.071209,0.000000,0.036616,0.046426,0.057374,0.000000,0.030675,0.000000,0.000000,0.000000,0.068789,0.000000,0.000000,0.056703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129912,0.058548,0.000000,0.000000,0.000000,0.054751,0.000000,0.000000,0.047504,0.000000,0.000000,0.067615,0.000000,0.000000,0.000000,0.078551,0.000000,0.049804,0.057805
31,3.427795,0.089459,0.026098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052151,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030307
13,3.427556,0.089460,0.026100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052197,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030262
20,3.426485,0.089466,0.026110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.001136,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052197,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.052674,0.053310,0.000000,0.030262
39,3.428060,0.089408,0.026081,0.000727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081016,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052151,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030307
22,3.427795,0.089459,0.026098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052151,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030307
16,3.427795,0.089459,0.026098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.037714,0.000000,0.000000,0.000000,0.071747,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.073803,0.062739,0.000000,0.000000,0.047415,0.000000,0.081743,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052151,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030307
16,3.438199,0.089947,0.026161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074257,0.000000,0.000000,0.025661,0.029455,0.000000,0.000000,0.000000,0.069304,0.000000,0.060501,0.040235,0.000000,0.000000,0.000000,0.000000,0.052515,0.000000,0.076245,0.062739,0.000000,0.000000,0.047415,0.000000,0.090001,0.000000,0.000000,0.000000,0.000000,0.024230,0.000000,0.000000,0.000000,0.000000,0.052151,0.000000,0.107177,0.000000,0.000000,0.050686,0.000000,0.000000,0.000000,0.000000,0.000000,0.053810,0.053310,0.000000,0.030307
