id,DsRisk,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
33,0.022543,0.059659,0.022543,0.000000,0.000000,0.067554,0.043949,0.030091,0.069891,0.000000,0.059519,0.028766,0.000000,0.087998,0.000000,0.062056,0.000000,0.060794,0.000000,0.000000,0.063255,0.000000,0.076701,0.000000,0.067329,0.000000,0.067679,0.000000,0.000000,0.000000,0.000000,0.000000,0.054883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.024302,0.063504,0.024302,0.071223,0.000000,0.000000,0.000000,0.040143,0.000000,0.000000,0.062546,0.000000,0.000000,0.000000,0.072699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086590,0.000000,0.088176,0.000000,0.078989,0.000000,0.062159,0.052945,0.000000,0.000000,0.000000,0.000000,0.000000,0.076161,0.000000,0.000000,0.000000,0.000000,0.068077,0.000000,0.043357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048778,0.000000,0.000000,0.059304,0.046695,0.000000,0.042157
29,0.028147,0.105741,0.028147,0.000000,0.000000,0.000000,0.049377,0.000000,0.058316,0.017442,0.000000,0.062508,0.000000,0.000000,0.045315,0.000000,0.000000,0.000000,0.000000,0.022498,0.048654,0.000000,0.000000,0.000000,0.000000,0.027838,0.000000,0.053249,0.000000,0.081205,0.000000,0.000000,0.000000,0.000000,0.091542,0.000000,0.000000,0.066108,0.000000,0.000000,0.000000,0.056375,0.063219,0.000000,0.000000,0.000000,0.048098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063053,0.051094,0.045280,0.048832
33,0.022543,0.059659,0.022543,0.000000,0.000000,0.067554,0.043949,0.030091,0.069891,0.000000,0.059519,0.028766,0.000000,0.087998,0.000000,0.062056,0.000000,0.060794,0.000000,0.000000,0.063255,0.000000,0.076701,0.000000,0.067329,0.000000,0.067679,0.000000,0.000000,0.000000,0.000000,0.000000,0.054883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.024302,0.063504,0.024302,0.071223,0.000000,0.000000,0.000000,0.040143,0.000000,0.000000,0.062546,0.000000,0.000000,0.000000,0.072699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086590,0.000000,0.088176,0.000000,0.078989,0.000000,0.062159,0.052945,0.000000,0.000000,0.000000,0.000000,0.000000,0.076161,0.000000,0.000000,0.000000,0.000000,0.068077,0.000000,0.043357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048778,0.000000,0.000000,0.059304,0.046695,0.000000,0.042157
29,0.028147,0.105741,0.028147,0.000000,0.000000,0.000000,0.049377,0.000000,0.058316,0.017442,0.000000,0.062508,0.000000,0.000000,0.045315,0.000000,0.000000,0.000000,0.000000,0.022498,0.048654,0.000000,0.000000,0.000000,0.000000,0.027838,0.000000,0.053249,0.000000,0.081205,0.000000,0.000000,0.000000,0.000000,0.091542,0.000000,0.000000,0.066108,0.000000,0.000000,0.000000,0.056375,0.063219,0.000000,0.000000,0.000000,0.048098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063053,0.051094,0.045280,0.048832
33,0.022543,0.059659,0.022543,0.000000,0.000000,0.067554,0.043949,0.030091,0.069891,0.000000,0.059519,0.028766,0.000000,0.087998,0.000000,0.062056,0.000000,0.060794,0.000000,0.000000,0.063255,0.000000,0.076701,0.000000,0.067329,0.000000,0.067679,0.000000,0.000000,0.000000,0.000000,0.000000,0.054883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.024302,0.063504,0.024302,0.071223,0.000000,0.000000,0.000000,0.040143,0.000000,0.000000,0.062546,0.000000,0.000000,0.000000,0.072699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086590,0.000000,0.088176,0.000000,0.078989,0.000000,0.062159,0.052945,0.000000,0.000000,0.000000,0.000000,0.000000,0.076161,0.000000,0.000000,0.000000,0.000000,0.068077,0.000000,0.043357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048778,0.000000,0.000000,0.059304,0.046695,0.000000,0.042157
6,0.024477,0.073589,0.024477,0.054217,0.000000,0.000000,0.011789,0.030558,0.013924,0.004164,0.047612,0.014924,0.000000,0.000000,0.066161,0.000000,0.000000,0.000000,0.000000,0.005372,0.011617,0.000000,0.000000,0.065916,0.000000,0.073770,0.000000,0.072843,0.000000,0.066707,0.040303,0.000000,0.000000,0.000000,0.021857,0.000000,0.057977,0.015784,0.000000,0.000000,0.000000,0.065283,0.015094,0.033005,0.000000,0.000000,0.011484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037132,0.000000,0.000000,0.060199,0.047746,0.010811,0.043751
33,0.022543,0.059659,0.022543,0.000000,0.000000,0.067554,0.043949,0.030091,0.069891,0.000000,0.059519,0.028766,0.000000,0.087998,0.000000,0.062056,0.000000,0.060794,0.000000,0.000000,0.063255,0.000000,0.076701,0.000000,0.067329,0.000000,0.067679,0.000000,0.000000,0.000000,0.000000,0.000000,0.054883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
