id,Delta,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
39,0.080774,0.089988,0.034707,0.000000,0.061987,0.000000,0.040660,0.059367,0.074633,0.031580,0.000000,0.000000,0.000000,0.000000,0.080774,0.062306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054992,0.067046,0.000000,0.071614,0.000000,0.060518,0.000000,0.000000,0.000000,0.000000,0.062022,0.000000,0.000000,0.011301,0.064835,0.070748,0.000000,0.000000,0.000000,0.066476,0.000000,0.059139
22,0.081192,0.082434,0.027325,0.000000,0.058833,0.076180,0.034029,0.000000,0.000000,0.000000,0.073093,0.060973,0.000000,0.000000,0.000000,0.000000,0.035843,0.000000,0.056231,0.081192,0.040562,0.000000,0.000000,0.000000,0.000000,0.055296,0.065107,0.000000,0.000000,0.000000,0.000000,0.076011,0.000000,0.072395,0.000000,0.000000,0.000000,0.000000,0.050283,0.000000,0.000000,0.057064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061908
27,0.081353,0.153959,0.051801,0.000000,0.000000,0.000000,0.067787,0.000000,0.000000,0.000000,0.000000,0.000000,0.055863,0.062348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056723,0.000000,0.046387,0.000000,0.000000,0.000000,0.000000,0.000000,0.075384,0.030148,0.000000,0.000000,0.000000,0.081353,0.000000,0.000000,0.000000,0.000000,0.000000,0.080770,0.067377,0.000000,0.068727,0.000000,0.063698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066358,0.000000,0.046718,0.043158,0.000000,0.000000,0.034489,0.052713,0.000000
3,0.064195,0.091132,0.036336,0.000000,0.010155,0.000000,0.011145,0.048686,0.006925,0.004769,0.000000,0.000000,0.045145,0.048885,0.035824,0.035964,0.034815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016731,0.051369,0.028562,0.031552,0.000000,0.000000,0.000000,0.035545,0.026508,0.000000,0.000000,0.060524,0.028097,0.028284,0.021172,0.000000,0.056600,0.050924,0.026123,0.014501,0.000000,0.000000,0.000000,0.030222,0.044373,0.000000,0.003831,0.064195,0.029667,0.000000,0.000000,0.000000,0.011090,0.000000,0.057816
4,0.064638,0.090178,0.034693,0.000000,0.012592,0.000000,0.012518,0.028504,0.040686,0.005632,0.000000,0.000000,0.036473,0.000000,0.035554,0.030937,0.000000,0.000000,0.000000,0.000000,0.000000,0.042442,0.000000,0.000000,0.052547,0.000000,0.000000,0.000000,0.000000,0.028832,0.042700,0.049479,0.000000,0.050001,0.000000,0.000000,0.000000,0.064638,0.049528,0.019994,0.000000,0.035668,0.000000,0.063702,0.038593,0.000000,0.034500,0.000000,0.021650,0.045770,0.000000,0.039732,0.015633,0.030668,0.000000,0.039748,0.000000,0.015790,0.000000,0.015488
35,0.064638,0.090178,0.034693,0.000000,0.012592,0.000000,0.012518,0.028504,0.040686,0.005632,0.000000,0.000000,0.036473,0.000000,0.035554,0.030937,0.000000,0.000000,0.000000,0.000000,0.000000,0.042442,0.000000,0.000000,0.052547,0.000000,0.000000,0.000000,0.000000,0.028832,0.042700,0.049479,0.000000,0.050001,0.000000,0.000000,0.000000,0.064638,0.049528,0.019994,0.000000,0.035668,0.000000,0.063702,0.038593,0.000000,0.034500,0.000000,0.021650,0.045770,0.000000,0.039732,0.015633,0.030668,0.000000,0.039748,0.000000,0.015790,0.000000,0.015488
11,0.054258,0.089958,0.034841,0.000000,0.011205,0.000000,0.007407,0.027675,0.024883,0.003627,0.000000,0.000000,0.043239,0.011756,0.034063,0.030812,0.009999,0.000000,0.000000,0.000000,0.000000,0.017745,0.000000,0.000000,0.038643,0.002308,0.012667,0.004606,0.016219,0.020968,0.039978,0.037978,0.019597,0.031160,0.000000,0.000000,0.032508,0.038832,0.054258,0.012322,0.000000,0.037349,0.021453,0.049334,0.041985,0.000000,0.031516,0.000000,0.020339,0.039845,0.000000,0.030896,0.032396,0.027754,0.000000,0.034193,0.000000,0.015997,0.000000,0.032486
32,0.054258,0.089958,0.034841,0.000000,0.011205,0.000000,0.007407,0.027675,0.024883,0.003627,0.000000,0.000000,0.043239,0.011756,0.034063,0.030812,0.009999,0.000000,0.000000,0.000000,0.000000,0.017745,0.000000,0.000000,0.038643,0.002308,0.012667,0.004606,0.016219,0.020968,0.039978,0.037978,0.019597,0.031160,0.000000,0.000000,0.032508,0.038832,0.054258,0.012322,0.000000,0.037349,0.021453,0.049334,0.041985,0.000000,0.031516,0.000000,0.020339,0.039845,0.000000,0.030896,0.032396,0.027754,0.000000,0.034193,0.000000,0.015997,0.000000,0.032486
35,0.054258,0.089958,0.034841,0.000000,0.011205,0.000000,0.007407,0.027675,0.024883,0.003627,0.000000,0.000000,0.043239,0.011756,0.034063,0.030812,0.009999,0.000000,0.000000,0.000000,0.000000,0.017745,0.000000,0.000000,0.038643,0.002308,0.012667,0.004606,0.016219,0.020968,0.039978,0.037978,0.019597,0.031160,0.000000,0.000000,0.032508,0.038832,0.054258,0.012322,0.000000,0.037349,0.021453,0.049334,0.041985,0.000000,0.031516,0.000000,0.020339,0.039845,0.000000,0.030896,0.032396,0.027754,0.000000,0.034193,0.000000,0.015997,0.000000,0.032486
18,0.046793,0.090125,0.033413,0.010918,0.013209,0.011346,0.010139,0.030067,0.042923,0.010244,0.000000,0.000000,0.031127,0.012501,0.025841,0.025766,0.027057,0.000000,0.000000,0.000000,0.000000,0.010401,0.000000,0.000000,0.005904,0.046541,0.034978,0.031729,0.016204,0.001723,0.012455,0.008586,0.046793,0.010730,0.000000,0.000000,0.037588,0.032257,0.034141,0.014967,0.000000,0.028269,0.021501,0.030967,0.011601,0.000000,0.020502,0.041150,0.018432,0.022693,0.000000,0.022040,0.040017,0.042146,0.000000,0.004964,0.040498,0.009244,0.025934,0.023907
